method,model_family,model_version,zone,probability_threshold,sampling,n_test,presence,absence,n_variables,variables,TP,TN,FP,FN,accuracy,balanced_accuracy,recall,specificity,precision,f1,tss,auc
mf_var,multi-Forest,corrected,21,0.5,all presence + equal modeled-zone absence,365368,182684,182684,21,"Tmin_at,MAP,Eref,EXT,DD5,DD18_sp,DD5_sm,DD_18_wt,Eref_at,DD18_sm,Tmin_wt,PPT_at,Tmin_sm,Eref_sp,AHM,Eref_sm,TD,PPT_wt,CMD_at,CMD,PPT_sm",175983,168650,14034,6701,0.943248998270237,0.943248998270237,0.963319174092969,0.923178822447505,0.926143450322866,0.944365590647731,0.886497996540474,0.983286398808383
mf_var,multi-Forest,corrected,22,0.5,all presence + equal modeled-zone absence,25562,12781,12781,21,"DD_0_at,Eref,AHM,Eref_sm,DD5_at,DD_0_wt,DD_0,PAS_wt,EMT,RH_sm,CMD_sm,RH_at,PPT_wt,PAS_sp,Eref_at,Tmax_wt,MAP,PPT_sp,TD,PPT_at,PPT_sm",12554,12299,482,227,0.972263516156795,0.972263516156795,0.982239261403646,0.962287770909944,0.963025467934949,0.972537475306968,0.94452703231359,0.995453804759592
mf_var,multi-Forest,corrected,23,0.5,all presence + equal modeled-zone absence,198614,99307,99307,21,"DD_18_at,Tmin_at,Eref,DD_18_sp,DD5_at,DD_18,RH_sp,DD_0_wt,CMD_sm,DD5,Tmax_wt,DD18,DD5_sm,DD_18_wt,DD_0,PAS_wt,Tmin_sm,DD18_sm,AHM,MAP,RH_wt",95774,91487,7820,3533,0.942838873392611,0.942838873392611,0.964423454539962,0.92125429224526,0.924513002683553,0.944046604008852,0.885677746785222,0.979640928460842
mf_var,multi-Forest,corrected,24,0.5,all presence + equal modeled-zone absence,508308,254154,254154,21,"Tmin_sp,DD5,CMD,DD18_sm,DD5_sm,DD_0,DD_0_sp,DD_18_sp,Eref_sp,AHM,PPT_wt,DD5_sp,PAS,Tmax_wt,EXT,MWMT,TD,RH_sp,CMD_sm,RH_wt,PPT_sm",244439,236780,17374,9715,0.946707508046303,0.946707508046303,0.961775144203908,0.931639871888697,0.93363965884047,0.947498580335564,0.893415016092605,0.981470997749982
mf_var,multi-Forest,corrected,25,0.5,all presence + equal modeled-zone absence,142470,71235,71235,21,"PAS_at,RH_sp,PPT_wt,Tmax_wt,CMD_sp,Tmin_sm,DD_18_sm,DD5_sm,RH_wt,EXT,DD_0_wt,CMD,DD_18_wt,Eref_sm,PPT_at,PAS_wt,PPT_sp,CMD_at,CMD_sm,TD,PPT_sm",69237,67067,4168,1998,0.956720713132589,0.956720713132589,0.971951989892609,0.94148943637257,0.943219126762482,0.957370022123894,0.913441426265179,0.987982205610292
mf_var,multi-Forest,corrected,26,0.5,all presence + equal modeled-zone absence,24614,12307,12307,21,"Tmin_sm,PPT_sp,CMD,DD18,MWMT,CMD_sm,DD_18_wt,EMT,Eref_at,DD5_sm,Eref_sp,AHM,EXT,CMD_wt,CMD_at,PPT_sm,Eref_sm,PPT_at,TD,RH_wt,PPT_wt",12136,11687,620,171,0.967863817339725,0.967863817339725,0.986105468432599,0.949622166246851,0.951395421762308,0.968439532378406,0.935727634679451,0.991982282661074
mf_var,multi-Forest,corrected,27,0.5,all presence + equal modeled-zone absence,518974,259487,259487,21,"PPT_at,CMD_sp,MWMT,Tmin_sm,DD18_sm,CMD,Eref_sm,CMD_sm,Eref,DD_0,RH_sm,PPT_sm,DD_18_wt,DD_18_sp,AHM,DD_18,CMD_at,MAP,PPT_wt,PPT_sp,TD",251197,246511,12976,8290,0.959022995371637,0.959022995371637,0.968052349443325,0.94999364129995,0.950880672892385,0.95938968032693,0.918045990743274,0.990745080173002
mf_var,multi-Forest,corrected,28,0.5,all presence + equal modeled-zone absence,27828,13914,13914,21,"CMD_at,Eref_sp,MWMT,Tmin_wt,DD_18_wt,Eref_sm,DD18_at,MCMT,Tmin_sm,DD18_sm,DD5_sm,PPT_at,AHM,CMD,PPT_sm,CMD_sp,EXT,Eref_at,TD,PPT_sp,PPT_wt",13575,13032,882,339,0.95612332902113,0.95612332902113,0.975636050021561,0.936610608020699,0.938991492010791,0.956963096119277,0.91224665804226,0.988450266136161
mf_var,multi-Forest,corrected,29,0.5,all presence + equal modeled-zone absence,98804,49402,49402,21,"PPT_wt,Eref_sp,DD18,DD5_sm,Tmin_wt,Tmax_wt,DD_18_wt,PAS,Tmin_sp,DD_0,RH_at,Tmin_sm,DD_0_at,PPT_at,RH_wt,DD_0_sp,AHM,PPT_sp,TD,Eref_at,PPT_sm",49009,47964,1438,393,0.981468361604793,0.981468361604793,0.992044856483543,0.970891866726043,0.971494836164688,0.981662310088233,0.962936723209586,0.99619162871437
mf_var,multi-Forest,corrected,30,0.5,all presence + equal modeled-zone absence,347398,173699,173699,21,"DD18_sm,DD_18_wt,DD18,MAP,RH_wt,Tmax_sm,PPT_sp,Eref_sp,PPT_sm,CMD_sp,PPT_at,AHM,DD5_sm,CMD_sm,CMD_wt,EXT,CMD,CMD_at,PPT_wt,Eref_sm,TD",165047,153177,20522,8652,0.916021393329841,0.916021393329841,0.950189695968313,0.881853090691369,0.889410407988403,0.918795996303595,0.832042786659681,0.961817697020158
mf_var,multi-Forest,corrected,31,0.5,all presence + equal modeled-zone absence,508946,254473,254473,21,"MCMT,DD_0_wt,TD,DD5,Tmin_sm,DD_18_sm,EXT,CMD,Tmax_wt,PAS,RH_sm,PPT_at,CMD_at,PAS_wt,CMD_sm,AHM,RH_wt,PAS_sp,MAP,PPT_sp,PPT_sm",247648,236977,17496,6825,0.952213004916042,0.952213004916042,0.973179865840384,0.9312461439917,0.934013215460278,0.953194372008614,0.904426009832084,0.986700382220978
mf_var,multi-Forest,corrected,32,0.5,all presence + equal modeled-zone absence,37648,18824,18824,21,"Tmin_wt,EMT,DD_18_wt,RH_sp,DD_0_wt,PPT_at,DD_0,Tmin_at,DD5_at,DD5,PPT_sp,Tmin_sm,PPT_sm,Tmin_sp,Eref_sm,RH_wt,MAP,TD,Eref,Tmax_wt,Eref_at",18631,18047,777,193,0.974235019124522,0.974235019124522,0.989747131321717,0.958722906927327,0.959964962901896,0.974628583385645,0.948470038249044,0.994389756155347
mf_var,multi-Forest,corrected,33,0.5,all presence + equal modeled-zone absence,234350,117175,117175,21,"AHM,DD18,DD5_sm,DD_18_at,CMD_at,CMD_sp,EXT,DD18_sm,Tmin_sm,CMD_sm,MAP,DD_0_at,DD_0,PPT_at,Tmax_wt,DD_18_wt,PPT_sp,PPT_sm,PPT_wt,RH_sm,TD",114618,110780,6395,2557,0.961800725410711,0.961800725410711,0.978177938980158,0.945423511841263,0.947154437952947,0.96241624263187,0.923601450821421,0.987961278860144
mf_var,multi-Forest,corrected,34,0.5,all presence + equal modeled-zone absence,3156,1578,1578,21,"Eref_sp,Tmax_wt,Eref_sm,RH_wt,DD_18_wt,PPT_sm,DD_18_sp,EMT,MCMT,DD5_sm,Tmax_sp,Tmin_sm,MWMT,PAS_wt,MAP,CMD_at,PPT_wt,CMD_sp,EXT,PPT_sp,TD",1573,1554,24,5,0.990811153358682,0.990811153358682,0.996831432192649,0.984790874524715,0.984971822166562,0.990866141732283,0.981622306717364,0.99806472392096
mf_var,multi-Forest,corrected,35,0.5,all presence + equal modeled-zone absence,19682,9841,9841,21,"RH_sm,CMD_at,PPT_sp,Eref,DD5_sp,RH_wt,AHM,DD18,MAP,RH_at,TD,PAS_wt,EXT,PPT_at,DD_0_wt,DD_18_wt,EMT,Tmin_wt,Tmin_sm,MCMT,PPT_sm",9788,9664,177,53,0.988314195711818,0.988314195711818,0.99461436845849,0.982014022965146,0.982237832413447,0.988387357366455,0.976628391423636,0.99825574361233
mf_var,multi-Forest,corrected,36,0.5,all presence + equal modeled-zone absence,13852,6926,6926,21,"MAP,DD_18_sp,RH_sm,DD5_sm,RH_at,DD18_sm,EXT,Eref_sp,AHM,RH_wt,Eref_sm,CMD,DD5_at,DD_18_wt,Tmin_wt,PPT_wt,PPT_sp,CMD_sp,Eref_at,PPT_sm,TD",6872,6584,342,54,0.971412070459139,0.971412070459139,0.992203291943402,0.950620848974877,0.952592181868589,0.971994342291372,0.942824140918279,0.993343100099738
mf_var,multi-Forest,corrected,37,0.5,all presence + equal modeled-zone absence,115368,57684,57684,21,"Eref_at,PAS_wt,Tmin_sm,CMD_at,AHM,DD_0_sp,DD_0,CMD,Eref,CMD_sp,Tmax_sp,PPT_sp,Tmax_wt,MAP,Eref_sp,PPT_sm,TD,PPT_at,CMD_sm,Eref_sm,PPT_wt",56155,55572,2112,1529,0.968440122044241,0.968440122044241,0.973493516399695,0.963386727688787,0.963753067774212,0.968598804667489,0.936880244088482,0.994613898453107
mf_var,multi-Forest,corrected,38,0.5,all presence + equal modeled-zone absence,18042,9021,9021,21,"DD5,MCMT,PAS_wt,DD18,AHM,DD_18_at,Tmin_at,PPT_sp,Eref,DD_0_wt,RH_wt,DD_18_wt,Tmin_sm,Tmax_wt,PPT_at,Eref_at,RH,MAP,TD,RH_sp,PPT_sm",9016,8938,83,5,0.995122491963197,0.995122491963197,0.99944573772309,0.990799246203303,0.990878118474558,0.99514348785872,0.990244983926394,0.99947160452484
mf_var,multi-Forest,corrected,39,0.5,all presence + equal modeled-zone absence,13436,6718,6718,21,"RH_wt,DD5_sm,Eref,RH_at,Tmin_wt,CMD_at,CMD_sp,RH_sm,Tmax_wt,DD5_at,PAS_wt,EXT,EMT,RH_sp,PPT_sp,MAP,PPT_at,PPT_sm,Eref_at,PPT_wt,TD",6703,6557,161,15,0.986900863352188,0.986900863352188,0.99776719261685,0.976034534087526,0.976544289044289,0.987041672802238,0.973801726704376,0.996571498449731
mf_var,multi-Forest,corrected,40,0.5,all presence + equal modeled-zone absence,204102,102051,102051,21,"MCMT,Eref_wt,CMD_sp,Eref_sp,RH_sm,Tmin_wt,EXT,PPT_sp,DD5_sm,Eref_at,DD18_sp,MWMT,DD18,RH_wt,CMD,Eref_sm,PPT_wt,PPT_sm,AHM,CMD_at,TD",99006,90053,11998,3045,0.926296655593772,0.926296655593772,0.970161977834612,0.882431333352931,0.891913804907931,0.929393818497571,0.852593311187544,0.964180497718979
mf_var,multi-Forest,corrected,41,0.5,all presence + equal modeled-zone absence,54890,27445,27445,21,"Tmax_sm,Tmin_sm,DD5_sm,Tmax_wt,DD18_sm,Eref_at,PPT_sp,DD_18_wt,CMD,DD18_at,MCMT,CMD_sm,Eref_sm,RH_wt,PPT_at,EXT,CMD_at,MAP,PPT_wt,PPT_sm,TD",27060,25997,1448,385,0.966605939151029,0.966605939151029,0.985971943887776,0.947239934414283,0.949207240072962,0.967240362447054,0.933211878302059,0.988975082280031
mf_var,multi-Forest,corrected,42,0.5,all presence + equal modeled-zone absence,94194,47097,47097,21,"PAS_at,DD5_sm,DD_18_sm,DD5,PAS_wt,MCMT,PAS_sp,RH,CMD_sm,RH_wt,PAS,Eref_sm,CMD,CMD_at,PPT_at,AHM,MAP,TD,RH_sm,Eref_at,PPT_sm",46706,45352,1745,391,0.977323396394675,0.977323396394675,0.991697985009661,0.962948807779689,0.96398423149161,0.977644744003014,0.95464679278935,0.992650375071399
mf_var,multi-Forest,corrected,43,0.5,all presence + equal modeled-zone absence,3368,1684,1684,21,"RH_sm,Tmin_wt,MAP,AHM,MWMT,Eref_sm,CMD_sp,Tmin_sp,CMD_sm,RH_wt,PPT_wt,TD,EMT,PPT_at,Eref_at,Tmin_at,MCMT,Tmax_wt,PAS_wt,RH_at,PPT_sm",1682,1667,17,2,0.994358669833729,0.994358669833729,0.998812351543943,0.989904988123515,0.989994114184815,0.99438368312149,0.988717339667458,0.999535942586648
mf_var,multi-Forest,corrected,44,0.5,all presence + equal modeled-zone absence,344352,172176,172176,21,"DD18_sp,DD_18_wt,Eref_sp,Tmax_wt,Tmin_wt,DD5_sm,DD18,PPT_sp,MWMT,CMD_wt,PPT_sm,EXT,Eref_at,CMD_sp,PPT_at,Eref_sm,CMD,PPT_wt,AHM,CMD_at,TD",165137,150515,21661,7039,0.916655050645851,0.916655050645851,0.959117414738407,0.874192686553294,0.884040514352402,0.92004992004992,0.833310101291701,0.960585331584415
mf_var,multi-Forest,corrected,45,0.5,all presence + equal modeled-zone absence,9754,4877,4877,21,"Eref_at,DD_18_sp,CMD,MCMT,PAS_wt,RH_wt,DD_0_wt,Tmax_sp,Tmin_wt,DD_18_wt,EMT,Tmax_wt,PPT_wt,EXT,CMD_sp,PPT_sm,MAP,PPT_at,RH_sm,PPT_sp,TD",4846,4753,124,31,0.984109083452942,0.984109083452942,0.993643633381177,0.974574533524708,0.975050301810865,0.984259165227988,0.968218166905885,0.996987634584618
mf_var,multi-Forest,corrected,46,0.5,all presence + equal modeled-zone absence,82418,41209,41209,21,"Tmin_at,DD_0,Tmax_sm,DD_0_wt,DD_0_sp,Tmin_wt,RH_at,DD_18_wt,RH_sm,DD5_sm,EXT,EMT,CMD_sp,Eref_at,PPT_at,PPT_wt,Tmax_wt,PPT_sp,MAP,PPT_sm,TD",40697,39042,2167,512,0.967494964692179,0.967494964692179,0.987575529617317,0.947414399767041,0.949444755505786,0.96813483520274,0.934989929384358,0.987890517115995
mf_var,multi-Forest,corrected,47,0.5,all presence + equal modeled-zone absence,214378,107189,107189,21,"Tmax_sm,MAP,CMD_at,DD_18_sp,Tmin_wt,DD5,DD18,CMD_sp,DD18_sm,PPT_at,AHM,DD5_sm,DD_18_wt,PPT_sm,PPT_sp,Eref_sm,CMD,Eref_wt,TD,Eref_at,PPT_wt",104972,99384,7805,2217,0.953250799988805,0.953250799988805,0.979316907518495,0.927184692459114,0.930792626156043,0.954438413209314,0.90650159997761,0.98320991279812
mf_var,multi-Forest,corrected,48,0.5,all presence + equal modeled-zone absence,1026,513,513,21,"DD5_sm,DD18_sm,RH,EXT,MCMT,DD_18_wt,PPT_sm,MAP,PPT_at,AHM,Eref_sm,RH_wt,RH_sp,PPT_sp,CMD,Tmin_sm,CMD_sm,CMD_at,RH_sm,TD,PPT_wt",513,511,2,0,0.998050682261209,0.998050682261209,1,0.996101364522417,0.996116504854369,0.998054474708171,0.996101364522417,1
mf_var,multi-Forest,corrected,49,0.5,all presence + equal modeled-zone absence,94126,47063,47063,21,"RH_wt,DD18_sp,RH_at,Tmin_sm,MWMT,EXT,Tmax_sm,DD18_sm,Eref_wt,Tmax_wt,PPT_wt,DD18,MAP,DD5_sm,AHM,PPT_sp,CMD,PPT_sm,TD,Eref_sm,CMD_at",45562,42853,4210,1501,0.939326009816629,0.939326009816629,0.968106580540977,0.910545439092281,0.915414289158563,0.941023390303093,0.878652019633258,0.979087980524734
mf_var,multi-Forest,corrected,50,0.5,all presence + equal modeled-zone absence,1524,762,762,21,"RH_at,Eref_at,RH_wt,PPT_sp,PPT_at,Tmax_wt,MWMT,CMD,Tmin_wt,DD5_sm,Tmin_sm,EXT,PPT_wt,Eref,Eref_wt,CMD_at,AHM,CMD_wt,Eref_sm,CMD_sp,TD",758,760,2,4,0.996062992125984,0.996062992125984,0.994750656167979,0.99737532808399,0.997368421052632,0.996057818659658,0.992125984251969,0.999970722163667
mf_var,multi-Forest,corrected,52,0.5,all presence + equal modeled-zone absence,14162,7081,7081,21,"DD18_at,AHM,Tmax_sm,Eref_at,Eref_sm,CMD_wt,MWMT,Tmax_sp,RH_wt,Tmax_at,Eref_wt,CMD,PPT_sm,Tmax_wt,MAP,CMD_at,CMD_sp,Eref_sp,PPT_sp,PPT_at,TD",7072,7013,68,9,0.994562914842536,0.994562914842536,0.998728993080073,0.990396836604999,0.990476190476191,0.994585472189016,0.989125829685073,0.998855467532563
mf_var,multi-Forest,corrected,53,0.5,all presence + equal modeled-zone absence,39158,19579,19579,21,"MCMT,DD5_sp,DD5,DD18_at,Tmax_wt,EXT,DD_18,DD_18_wt,DD5_at,DD_18_at,Eref_wt,Eref_sm,DD5_wt,AHM,TD,PPT_at,CMD,CMD_at,PPT_sm,CMD_sp,RH_at",19482,19195,384,97,0.98771643086981,0.98771643086981,0.995045712242709,0.98038714949691,0.980670492298399,0.987805805552034,0.975432861739619,0.997766867112188
mf_var,multi-Forest,corrected,54,0.5,all presence + equal modeled-zone absence,6926,3463,3463,21,"Tmax_sp,Tave_sp,DD_18,Tave_at,DD18_sm,DD18_sp,DD5,DD5_at,EXT,DD_18_at,Eref_sm,DD5_sp,Tmax_wt,CMD,CMD_sp,CMD_wt,DD_18_sp,PPT_wt,PPT_at,CMD_at,PPT_sp",3458,3446,17,5,0.996823563384349,0.996823563384349,0.998556165174704,0.995090961593994,0.995107913669065,0.996829057365235,0.993647126768698,0.999443354353089
mf_var,multi-Forest,corrected,55,0.5,all presence + equal modeled-zone absence,3982,1991,1991,21,"DD_18_sp,DD5_sp,Eref_sp,DD5_sm,CMD,Tmin_wt,PPT_wt,PPT_at,EMT,Eref_sm,Eref_at,AHM,MWMT,CMD_wt,Eref_wt,Tmin_sp,TD,PPT_sp,MAP,CMD_at,CMD_sp",1990,1971,20,1,0.994726268206931,0.994726268206931,0.999497739829232,0.989954796584631,0.990049751243781,0.994751312171957,0.989452536413862,0.999197165749136
